shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
7326_3,40.602875515129,-8.38622885209118,228
7311_3,40.5762171810473,-8.44689022537582,229
7323_5,40.5789480915311,-8.45076870011642,230
7316_2,40.5763401311692,-8.44870272029641,231
7325_1,40.5762874136982,-8.44878811362532,232
7323_8,40.5339426855383,-8.30998251867462,233
7322_2,40.6158550765198,-8.24798402113947,234
7323_6,40.5789479033305,-8.45083713327923,235
7316_3,40.5928495091429,-8.30795076006233,236
7322_2,40.6159900522862,-8.24816326884853,237
7323_3,40.520107928558,-8.41226929556456,238
7325_3,40.5762346671748,-8.44707424108589,239
7323_7,40.5263520373118,-8.28830257433198,240
7323_5,40.5792911440151,-8.45083667794194,241
7321_2,40.6421643977481,-8.34891350340892,242
7323_1,40.5762532559706,-8.44671592492279,243
7326_2,40.5763502653618,-8.44906610268231,244
7311_1,40.5751129633411,-8.44825529516113,245
7326_1,40.5770614151366,-8.44953124740412,246
7325_4,40.5191682424398,-8.41735993088719,247
7311_2,40.576303404518,-8.44642563897982,248
7326_4,40.5820491619226,-8.40166944277982,249
7323_4,40.5763358779887,-8.44495186215035,250
7325_5,40.5190378544855,-8.41766990381209,251
7316_1,40.5762468169272,-8.44895361420885,252
7318_2,40.5762438041124,-8.44738470514631,253
7318_1,40.6055513747026,-8.49734932398004,254
7326_3,40.6028483402581,-8.38628704865624,255
7322_1,40.5762709890973,-8.44681358725235,256
7321_1,40.5762492824255,-8.44680716172186,257
7311_3,40.5762271583785,-8.44683443099723,258
7323_6,40.5792909557729,-8.45090511145387,259
7316_2,40.576318736826,-8.44881837964397,260
7323_9,40.5192195092495,-8.41704407250461,261
7323_8,40.5340068333295,-8.31031222213715,262
7323_2,40.5763599,-8.4485276,263
7325_1,40.5762505677355,-8.44891285518577,264
7316_3,40.5927536022903,-8.30800805870449,265
7321_1,40.5763074611988,-8.44677923870606,266
7323_7,40.526343913569,-8.28845995417787,267
7311_1,40.5750121755084,-8.4482075208717,268
7321_2,40.6421126488774,-8.34914775077572,269
7322_2,40.6161741339299,-8.24849841275714,270
7326_2,40.5776474044871,-8.44991880082681,271
7325_5,40.5189580477338,-8.41782999381589,272
7326_1,40.5778125592822,-8.45003690197325,273
7326_4,40.582521940492,-8.40202112561983,274
7323_3,40.5200709900332,-8.4122596564925,275
7323_5,40.5796192791002,-8.45087332839692,276
7311_2,40.5763465149993,-8.4459504309255,277
7323_2,40.5763405,-8.4487032,278
7323_4,40.5763384175556,-8.44468835689195,279
7323_6,40.5796190908349,-8.45094176224298,280
7316_1,40.5762923353133,-8.44903130942467,281
7323_9,40.5191945360588,-8.41718382033848,282
7318_1,40.6057175206224,-8.49729164829048,283
7325_1,40.5761806702053,-8.44895935378927,284
7322_1,40.5763300430673,-8.44682034396202,285
7325_3,40.5762171337374,-8.44684669391428,286
7311_3,40.5762551610737,-8.44677442532203,287
7325_4,40.5191162302305,-8.41752876484502,288
7316_2,40.5762891736814,-8.44892545522214,289
7326_3,40.6028346555635,-8.38636050453727,290
7323_8,40.5340740030741,-8.31067825031819,291
7323_1,40.5762962966412,-8.44639684188854,292
7318_2,40.5762290382539,-8.44697895611061,293
7316_3,40.5926402868215,-8.30812588902691,294
7323_9,40.519148872748,-8.41739071775879,295
7323_7,40.5262005060217,-8.28896457570481,296
7325_3,40.5762666099549,-8.44670745749098,297
7321_2,40.6420928432653,-8.34931204613379,298
7323_5,40.5803682206555,-8.45082188743924,299
